ID,Station Name,Address,Total Docks,Docks in Service,Status,Latitude,Longitude,Location
5,State St & Harrison St,620 S. State St.,19,19,In Service,41.87395806,-87.62773949,"(41.8739580629, -87.6277394859)"
13,Wilton Ave & Diversey Pkwy,2790 N.Wilton Ave,19,19,In Service,41.93250008,-87.65268082,"(41.93250008, -87.65268082)"
14,Morgan St & 18th St,962 W. 18th St,15,15,In Service,41.858086,-87.651073,"(41.858086, -87.651073)"
15,Racine Ave & 18th St,1722 S Racine Ave,15,15,In Service,41.85818061,-87.65648665,"(41.8581806068, -87.6564866473)"
16,Wood St & North Ave,1553 N Wood St,11,11,In Service,41.910329,-87.672516,"(41.910329, -87.672516)"
17,Wood St & Division St,1802 W. Divison St,15,15,In Service,41.90332,-87.67273,"(41.90332, -87.67273)"
19,Loomis St & Taylor St,Loomis St & Taylor St,15,15,In Service,41.869417,-87.660996,"(41.869417, -87.660996)"
20,Sheffield Ave & Kingsbury St,1009 W. Weed st,15,15,In Service,41.90959193,-87.65349723,"(41.90959193, -87.65349723)"
21,Aberdeen St & Jackson Blvd,1103 W.Jackson Blvd,15,15,In Service,41.87772613,-87.65478743,"(41.87772613, -87.65478743)"
22,May St & Taylor St,1134 W. Taylor St,15,15,In Service,41.8694821,-87.6554864,"(41.8694821, -87.6554864)"
23,Orleans St & Elm St,350 W. Elm st,15,14,In Service,41.902924,-87.637715,"(41.902924, -87.637715)"
24,Fairbanks Ct & Grand Ave,240 E.Grand Ave.,15,15,In Service,41.89186,-87.62062,"(41.89186, -87.62062)"
25,Michigan Ave & Pearson St,150 E.Pearson st,23,23,In Service,41.89766,-87.62351,"(41.89766, -87.62351)"
26,McClurg Ct & Illinois St,McClurg Ct & Illinois St,31,31,In Service,41.89102,-87.6173,"(41.89102, -87.6173)"
27,Larrabee St & North Ave,1530 N.Larrabee st,19,19,In Service,41.91021,-87.6435,"(41.91021, -87.6435)"
28,Larrabee St & Menomonee St,590 W. Menomonee,15,15,In Service,41.91468,-87.64332,"(41.91468, -87.64332)"
29,Noble St & Milwaukee Ave,1016 N. Noble st,15,15,In Service,41.90068,-87.6626,"(41.90068, -87.6626)"
30,Ashland Ave & Augusta Blvd,1611 W. Augusta Blvd,15,14,In Service,41.899643,-87.6677,"(41.899643, -87.6677)"
31,Franklin St & Chicago Ave,805 N. Franklin St,23,23,In Service,41.89680204,-87.63563839,"(41.89680204, -87.63563839)"
32,Racine Ave & Congress Pkwy,550 S. Racine,19,19,In Service,41.87464,-87.65703,"(41.87464, -87.65703)"
33,State St & Van Buren St,360 S State St,27,26,In Service,41.877181,-87.627844,"(41.877181, -87.627844)"
34,Cannon Dr & Fullerton Ave,2432 N. Cannon Dr.,15,15,In Service,41.92675599,-87.63442879,"(41.9267559875, -87.6344287848)"
35,Streeter Dr & Illinois St,585 E. Illinois st,39,39,In Service,41.891071,-87.6122,"(41.891071, -87.6122)"
36,Franklin St & Jackson Blvd,340 S. Franklin St,31,31,In Service,41.87770796,-87.63532114,"(41.8777079559, -87.6353211408)"
37,Dearborn St & Adams St,59 W. Adams St ,19,17,In Service,41.87935636,-87.62979104,"(41.8793563587, -87.6297910363)"
42,Wabash Ave & Cermak Rd,2119 S. Wabash Ave.,15,15,In Service,41.85323876,-87.62533709,"(41.8532387578, -87.6253370902)"
43,Michigan Ave & Washington St,120 N Michigan,43,42,In Service,41.88389277,-87.62464914,"(41.8838927658, -87.6246491409)"
44,State St & Randolph St,State St & Randolph St,27,27,In Service,41.8847302,-87.62773357,"(41.8847302006, -87.6277335692)"
45,Michigan Ave & Congress Pkwy,420 w. Michigan,15,14,In Service,41.8760656,-87.62443336,"(41.876065599, -87.6244333636)"
46,Wells St & Walton St,932 N. Wells St.,19,18,In Service,41.89993001,-87.63443007,"(41.89993001, -87.63443007)"
47,State St & Kinzie St,5 E. Kinzie St.,19,19,In Service,41.88918,-87.6277,"(41.88918, -87.6277)"
48,Larrabee St & Kingsbury St,840 N. Larrabee St.,27,27,In Service,41.897764,-87.642884,"(41.897764, -87.642884)"
49,Dearborn St & Monroe St,80 S. Dearborn St.,23,23,In Service,41.88131982,-87.62952092,"(41.881319815, -87.6295209193)"
50,Clark St & Congress Pkwy,Clark St & Congress Pkwy,27,25,In Service,41.87593267,-87.63058454,"(41.8759326655, -87.6305845355)"
51,Clark St & Randolph St,120 W. Randolph St.,31,29,In Service,41.88457623,-87.63188991,"(41.884576228, -87.63188991)"
52,Michigan Ave & Lake St,203 N. Michigan Ave.,28,28,In Service,41.88605812,-87.62428934,"(41.8860581151, -87.6242893413)"
53,Wells St & Erie St,Wells St & Erie St,19,19,In Service,41.893832,-87.634195,"(41.893832, -87.634195)"
54,Ogden Ave & Chicago Ave,1040 W. Chicago Ave.,19,19,In Service,41.89636246,-87.65406127,"(41.896362458, -87.6540612729)"
55,Halsted St & James M Rochford St,791 W. James M. Rochford St.,15,15,In Service,41.865861,-87.646611,"(41.865861, -87.646611)"
56,Desplaines St & Kinzie St,368 N. Desplaines St.,19,18,In Service,41.88871604,-87.64444785,"(41.888716036, -87.6444478533)"
57,Clinton St & Roosevelt Rd,559 W. Roosevelt Rd.,15,15,In Service,41.86711778,-87.64108796,"(41.8671177825, -87.6410879593)"
58,Ashland Ave & Armitage Ave,1639 W. Armitage Ave.,15,15,In Service,41.91785887,-87.668919,"(41.9178588677, -87.668919)"
59,Wabash Ave & Roosevelt Rd,1210 S. Wabash Ave.,19,18,In Service,41.867173,-87.62595501,"(41.8671729952, -87.6259550069)"
60,Dayton St & North Ave,1575 N. Dayton St.,19,19,In Service,41.91057804,-87.64942193,"(41.9105780349, -87.6494219288)"
61,Wood St & Milwaukee Ave,1416 N. Wood,15,15,In Service,41.907655,-87.672552,"(41.907655, -87.672552)"
62,McCormick Place,2253 S. Dr. Martin Luther King Jr Dr.,27,26,In Service,41.85137517,-87.61883465,"(41.8513751729, -87.6188346489)"
66,Clinton St & Lake St,202 N. Clinton St.,19,18,In Service,41.88583274,-87.64138232,"(41.8858327415, -87.6413823149)"
67,Sheffield Ave & Fullerton Ave,2410 N. Sheffield Ave.,15,15,In Service,41.92560188,-87.65370804,"(41.9256018819, -87.6537080423)"
68,Clinton St & Tilden St,520 W. Tilden,23,23,In Service,41.875885,-87.640795,"(41.875885, -87.640795)"
69,Damen Ave & Pierce Ave,2002 W. Pierce Ave.,19,18,In Service,41.90939601,-87.67769193,"(41.9093960065, -87.6776919292)"
71,Morgan St & Lake St,1003 W. Lake St.,15,15,In Service,41.88548331,-87.65230486,"(41.8854833079, -87.6523048564)"
72,State St & 16th St,1 W. 16th St.,15,15,In Service,41.86012138,-87.62772919,"(41.8601213774, -87.6277291853)"
73,Jefferson St & Monroe St,207 S. Jefferson St.,19,19,In Service,41.880422,-87.642746,"(41.880422, -87.642746)"
74,Kingsbury St & Erie St,511 W Erie,23,21,In Service,41.89384315,-87.64185116,"(41.89384315, -87.64185116)"
75,Canal St & Jackson Blvd,510 W. Jackson Blvd.,35,35,In Service,41.87811421,-87.63997112,"(41.87811421, -87.63997112)"
76,Lake Shore Dr & Monroe St,402 E. Monroe St.,35,34,In Service,41.88105,-87.61697,"(41.88105, -87.61697)"
77,Clinton St & Madison St,8 S. Clinton St.,23,22,In Service,41.8815824,-87.64127743,"(41.8815824, -87.64127743)"
80,Aberdeen St & Madison St,1059 W. Madison St.,19,19,In Service,41.881487,-87.654752,"(41.881487, -87.654752)"
81,Daley Center Plaza,48 W. Washington St.,47,45,In Service,41.884337,-87.630183,"(41.884337, -87.630183)"
84,Green St & Milwaukee Ave,820 W. Grand Ave.,19,19,In Service,41.891733,-87.648727,"(41.891733, -87.648727)"
85,Michigan Ave & Oak St,140 E. Oak St.,15,15,In Service,41.90096039,-87.62377664,"(41.90096039, -87.62377664)"
86,Eckhart Park,811 N. Noble St.,15,15,In Service,41.89637337,-87.66098386,"(41.89637337, -87.66098386)"
87,Racine Ave & Fullerton Ave,2411 N. Racine,19,18,In Service,41.92556258,-87.65840426,"(41.92556258, -87.65840426)"
88,May St & Randolph St,1213 W. Washington St.,15,15,In Service,41.88397,-87.655688,"(41.88397, -87.655688)"
90,Millennium Park,33 S. Michigan Ave.,35,34,In Service,41.8810317,-87.62408432,"(41.8810317, -87.62408432)"
91,Clinton St & Washington Blvd,109 N. Clinton St.,31,30,In Service,41.88338,-87.64117,"(41.88338, -87.64117)"
92,Carpenter St & Huron St,Carpenter St & Huron St,19,19,In Service,41.894556,-87.653449,"(41.894556, -87.653449)"
93,Sheffield Ave & Willow St,1740 N. Sheffield Ave.,15,15,In Service,41.913688,-87.652855,"(41.913688, -87.652855)"
94,Lincoln Ave & Armitage Ave,1963 N. Lincoln Ave.,19,18,In Service,41.918273,-87.638116,"(41.918273, -87.638116)"
97,Museum Campus,Off Street,31,31,In Service,41.865212,-87.617759,"(41.865212, -87.617759)"
98,LaSalle St & Washington St,LaSalle St & Washington St,15,15,In Service,41.882664,-87.63253,"(41.882664, -87.63253)"
99,Lake Shore Dr & Ohio St,Lake Shore Dr & Ohio St,19,18,In Service,41.89257,-87.614492,"(41.89257, -87.614492)"
100,Orleans St & Merchandise Mart Plaza,333 N Orleans st ,23,23,In Service,41.888243,-87.63639,"(41.888243, -87.63639)"
