,cas_rides_in,cas_rides_out,hour,station,sub_rides_in,sub_rides_out,weekday
0,0,4,08,143,1,31,4
1,7,5,23,5,13,7,6
2,2,8,09,140,2,12,0
3,0,4,23,126,5,1,1
4,22,1,17,66,111,13,4
5,34,33,11,75,66,90,2
6,8,4,10,7,22,12,0
7,23,25,22,74,28,75,1
8,11,10,20,128,38,116,0
9,5,1,22,112,6,6,2
10,0,0,22,83,4,2,0
11,90,122,12,98,48,45,5
12,24,6,18,8,36,14,6
13,16,21,01,76,36,28,5
14,15,12,17,96,98,56,3
15,16,9,16,27,59,13,4
16,0,0,05,73,0,1,4
17,8,0,23,102,14,8,2
18,14,25,21,84,8,27,5
19,8,21,00,53,40,29,0
20,30,41,16,24,57,126,4
21,8,5,14,127,7,7,0
22,1,2,05,58,0,1,6
23,4,2,21,112,9,19,1
24,1,0,18,105,1,2,5
25,20,9,01,90,22,2,6
26,2,2,23,34,1,2,4
27,1,6,08,66,18,54,5
28,3,2,15,66,27,36,1
29,25,29,12,43,105,98,0
30,49,31,16,114,1017,65,2
31,5,6,10,127,2,40,2
32,8,3,21,87,42,11,0
33,34,4,08,48,538,62,4
34,7,2,19,77,17,8,3
35,8,6,20,79,49,19,6
36,37,20,17,41,50,42,6
37,0,1,05,25,4,21,0
38,3,1,00,5,6,6,2
39,28,23,20,46,51,36,5
40,1,2,11,83,5,17,4
41,1,8,07,25,19,209,3
42,38,18,16,111,508,41,0
43,86,89,15,111,23,26,5
44,0,0,20,122,4,2,1
45,12,9,02,96,6,6,6
46,48,46,16,76,78,83,6
47,34,29,19,6,78,63,6
48,6,15,09,40,110,123,2
49,1,2,20,140,9,10,4
50,0,4,15,125,1,1,5
51,1,1,15,120,2,1,2
52,0,1,05,89,1,1,5
53,2,10,13,127,8,17,3
54,34,14,18,69,152,61,1
55,1,7,18,92,1,4,4
56,2,0,00,141,7,2,3
57,2,3,13,104,4,7,0
58,9,17,18,18,16,23,5
59,6,11,19,57,103,69,0
60,1,1,12,136,9,6,6
61,86,85,12,103,90,98,5
62,2,0,04,22,8,2,2
63,2,0,07,93,4,6,1
64,67,101,15,26,111,112,6
65,10,3,21,48,12,16,3
66,11,8,19,64,42,89,0
67,21,45,14,98,49,29,2
68,12,17,18,130,50,81,2
69,5,4,06,6,35,60,4
70,23,16,20,9,61,59,2
71,5,8,20,133,19,21,5
72,18,23,19,131,76,59,3
73,5,1,09,5,59,25,3
74,0,2,03,14,1,3,3
75,39,33,15,55,101,90,4
76,2,11,17,132,28,118,2
77,7,3,16,143,1,10,5
78,17,12,13,127,16,24,5
79,0,0,11,119,2,3,2
80,24,30,12,95,38,47,6
81,6,8,07,52,103,101,2
82,2,3,01,134,6,1,5
83,10,6,03,36,7,4,5
84,63,47,16,113,196,154,1
85,30,23,13,84,64,71,2
86,4,11,09,17,61,59,0
87,6,10,15,15,16,11,3
88,8,9,19,57,82,54,4
89,5,2,07,80,157,8,4
90,0,0,02,145,0,1,2
91,2,1,06,72,50,4,3
92,14,5,08,73,66,50,3
93,13,15,08,43,461,262,0
94,33,29,15,68,84,78,0
95,1,0,22,116,7,4,0
96,3,2,23,69,6,11,0
97,0,0,23,105,12,1,1
98,0,1,00,65,0,1,2
99,7,8,09,96,13,19,6
100,48,40,14,43,39,59,0
101,82,58,11,103,88,59,6
102,10,8,21,69,25,17,4
103,18,13,00,88,40,38,5
104,14,1,08,130,68,8,2
105,1,2,23,112,1,5,0
106,0,0,23,132,4,11,3
107,18,9,18,25,210,74,2
108,26,26,19,20,74,63,1
109,6,9,13,133,26,21,1
110,1,0,00,14,2,10,4
111,9,2,16,71,53,11,3
112,1,1,01,99,0,3,0
113,1,0,04,102,3,1,4
114,1,2,06,86,0,1,6
115,1,1,05,6,6,15,3
116,2,4,14,136,11,10,4
117,6,10,19,63,20,27,5
118,7,18,21,10,26,46,2
119,56,80,17,114,42,22,5
120,16,25,22,54,19,28,1
121,0,0,02,52,1,1,1
122,37,38,10,111,15,19,6
123,0,7,03,22,0,2,5
124,4,1,14,101,6,1,1
125,30,28,17,81,150,144,2
126,12,10,21,88,86,41,2
127,0,0,06,107,0,1,0
128,14,16,08,52,84,154,3
129,15,16,08,6,158,251,3
130,5,2,02,59,0,2,0
131,4,0,02,67,19,31,3
132,6,11,14,26,67,45,4
133,9,8,21,137,24,26,5
134,15,25,11,65,14,7,0
135,0,0,06,130,3,4,5
136,67,70,17,103,167,240,0
137,7,1,00,91,7,15,2
138,11,7,12,92,2,5,6
139,0,2,23,57,27,10,3
140,3,9,19,115,36,41,1
141,10,6,13,96,48,49,1
142,5,13,07,49,114,43,2
143,0,0,06,132,1,6,5
144,2,1,07,102,22,6,6
145,17,2,07,14,226,21,2
146,0,0,04,3,0,1,4
147,5,18,12,88,40,61,3
148,1,2,07,27,23,50,0
149,26,16,13,112,59,88,4
150,5,4,09,62,44,34,0
151,0,1,01,27,4,4,3
152,0,0,04,6,1,2,6
153,11,7,20,114,54,15,0
154,2,8,20,132,20,37,3
155,31,25,22,54,37,43,4
156,4,6,09,14,61,18,5
157,14,10,12,139,38,34,1
158,10,9,14,14,61,58,1
159,0,0,07,107,0,1,5
160,15,4,10,62,5,8,5
161,7,11,01,59,1,4,4
162,8,12,19,96,89,66,2
163,5,4,16,116,15,4,4
164,0,1,02,80,3,5,0
165,2,4,04,67,5,6,0
166,5,14,13,87,38,38,2
167,27,24,12,10,64,75,4
168,2,10,19,77,13,12,4
169,0,2,05,72,0,2,6
170,0,0,21,124,0,1,0
171,0,0,04,64,5,2,2
172,1,2,00,138,5,2,4
173,26,12,12,64,122,157,2
174,5,20,08,32,113,85,2
175,5,0,06,99,11,11,5
176,0,0,10,145,0,2,2
177,3,2,00,129,10,6,5
178,1,3,22,7,3,4,2
179,29,28,11,69,44,60,5
180,3,0,05,139,3,16,0
181,7,20,14,112,46,63,0
182,122,96,12,67,229,211,0
183,20,25,10,16,65,63,0
184,21,16,22,67,82,96,1
185,5,5,00,3,6,2,6
186,43,73,17,129,28,40,6
187,18,13,22,40,24,24,3
188,0,0,07,132,7,2,5
189,25,11,17,139,109,82,2
190,4,5,11,14,66,45,2
191,5,6,09,94,7,24,2
192,1,0,03,134,0,1,6
193,0,0,01,123,0,1,5
194,0,0,17,105,15,6,3
195,16,14,13,9,43,63,3
196,0,3,05,69,2,8,2
197,9,3,23,127,10,8,2
198,11,15,21,95,48,18,5
199,7,9,00,76,12,11,0
200,13,5,17,126,71,16,0
201,6,25,12,27,23,43,6
202,2,1,21,11,6,22,1
203,21,20,18,96,39,56,5
204,0,2,18,122,5,3,3
205,13,23,23,43,22,8,4
206,3,2,08,59,16,18,5
207,0,1,07,51,28,14,1
208,10,22,15,91,36,60,1
209,0,3,06,89,1,5,1
210,24,41,16,75,116,142,2
211,0,1,03,9,1,5,2
212,0,0,16,108,1,1,4
213,9,16,08,43,442,229,4
214,0,0,06,118,0,2,1
215,6,20,20,70,14,27,6
216,12,11,19,137,48,46,4
217,20,18,20,103,69,93,2
218,2,5,07,50,10,2,6
219,7,16,11,89,33,34,4
220,73,83,15,84,71,57,5
221,6,4,20,115,35,23,1
222,75,100,16,129,51,41,6
223,1,0,22,15,10,5,0
224,47,30,16,69,50,35,6
225,0,0,03,30,2,1,2
226,4,1,19,129,31,14,3
227,0,4,00,54,2,1,1
228,15,15,09,49,93,56,2
229,10,17,20,131,47,35,4
230,5,14,01,16,19,28,5
231,6,5,15,115,17,38,2
232,0,0,05,80,4,2,5
233,1,0,13,100,1,2,3
234,40,36,18,76,184,134,1
235,1,1,17,124,3,1,4
236,1,1,21,140,6,1,6
237,12,20,15,130,25,20,6
238,6,12,20,63,27,27,2
239,34,19,10,80,251,43,1
240,31,18,13,99,81,90,0
241,31,16,18,5,29,23,5
242,9,8,19,48,21,104,0
243,6,0,01,62,4,2,6
244,20,21,18,17,77,62,1
245,16,8,07,84,171,9,1
246,32,15,11,70,49,38,1
247,0,1,06,15,4,2,1
248,8,6,10,15,2,2,6
249,26,22,18,139,120,114,2
250,3,5,00,57,5,6,2
251,0,0,01,29,0,2,0
252,21,34,10,22,106,82,4
253,3,4,18,144,14,15,4
254,0,13,08,106,2,16,2
255,0,0,03,5,6,2,3
256,16,11,15,78,43,34,4
257,27,54,18,6,156,150,0
258,10,8,02,4,10,25,6
259,28,32,13,96,42,74,5
260,39,39,12,72,61,35,6
261,15,9,20,40,41,36,4
262,4,5,01,141,1,3,5
263,9,10,16,8,31,11,1
264,6,3,19,116,11,11,2
265,27,19,09,22,317,173,4
266,6,13,00,58,15,5,5
267,1,0,03,57,1,1,4
268,12,9,15,112,31,61,3
269,1,4,07,89,7,13,4
270,6,3,00,20,6,2,2
271,2,1,06,49,26,17,3
272,20,12,08,70,189,34,3
273,19,5,08,50,206,83,0
274,6,6,16,141,9,4,6
275,3,2,15,83,9,10,0
276,2,1,22,134,8,2,3
277,13,8,23,90,29,6,0
278,1,3,23,96,26,16,1
279,0,0,09,105,2,2,6
280,13,17,11,30,20,30,6
281,8,11,00,53,26,29,2
282,39,20,09,74,114,52,1
283,0,2,08,124,10,2,4
284,8,17,22,90,26,10,4
285,1,10,18,110,15,28,2
286,13,16,08,90,141,124,0
287,0,0,20,145,2,1,2
288,10,12,00,49,6,12,4
289,8,4,16,78,48,19,3
290,6,7,09,89,55,50,3
291,7,5,10,133,22,61,1
292,2,0,05,9,23,1,3
293,50,75,19,52,57,63,5
294,11,1,22,65,1,5,2
295,0,0,17,123,1,2,5
296,1,4,07,104,4,21,2
297,30,33,20,42,30,57,3
298,1,7,22,132,7,13,4
299,5,18,08,44,133,156,1
300,10,17,18,130,44,93,1
301,3,2,18,141,19,12,4
302,1,0,14,124,0,1,1
303,4,0,21,86,19,15,6
304,27,13,17,88,187,71,2
305,13,10,07,52,69,90,4
306,16,8,21,81,40,45,2
307,3,5,06,98,15,29,0
308,16,15,10,99,72,59,4
309,5,2,23,50,7,5,0
310,4,0,02,76,1,1,3
311,14,14,14,3,22,36,4
312,72,72,16,128,71,115,5
313,5,15,10,19,21,34,5
314,0,1,00,40,4,1,2
315,9,13,14,115,22,19,5
316,6,15,21,41,30,26,4
317,2,0,20,93,7,3,4
318,0,4,05,53,7,34,1
319,9,10,23,32,19,24,3
320,15,4,23,84,7,6,3
321,0,4,07,45,24,58,3
322,14,1,21,115,23,21,3
323,3,3,11,102,36,39,4
324,68,49,12,67,243,270,3
325,99,54,11,54,41,31,6
326,27,25,22,21,12,27,5
327,0,0,03,17,5,3,5
328,5,2,01,33,8,11,1
329,2,2,10,142,1,8,0
330,3,2,08,30,63,35,2
331,19,10,20,9,56,54,0
332,8,4,20,141,16,10,3
333,28,62,22,33,56,66,4
334,4,5,09,5,17,10,5
335,2,0,07,18,8,6,5
336,0,1,08,143,2,42,0
337,3,0,01,32,4,6,4
338,96,90,14,103,66,81,6
339,1,1,08,136,45,13,3
340,2,4,02,103,2,3,0
341,6,7,15,133,35,18,0
342,7,9,12,115,16,15,4
343,38,36,21,45,46,44,5
344,13,3,00,88,22,8,3
345,5,7,22,133,16,21,5
346,2,2,21,132,7,15,4
347,13,16,22,32,18,19,0
348,4,8,17,11,16,26,6
349,0,1,02,74,1,2,2
350,9,7,12,89,51,39,2
351,8,36,08,47,64,331,2
352,0,1,06,104,0,3,5
353,4,9,16,132,18,102,3
354,20,18,16,141,9,9,5
355,18,12,20,94,18,14,6
356,0,2,06,90,2,13,4
357,1,1,22,14,10,18,2
358,13,11,09,98,49,74,0
359,1,0,05,128,4,3,0
360,20,33,14,73,28,34,0
361,12,18,11,68,53,71,2
362,1,2,04,90,2,1,6
363,26,35,11,78,60,56,5
364,33,30,10,128,73,27,5
365,9,10,19,133,51,45,2
