,cas_rides_in,cas_rides_out,hour,station,sub_rides_in,sub_rides_out,weekday
0,0,0,20,31052.0,6,1,0
1,0,0,21,31039.0,1,2,2
2,2,2,12,31312.0,5,3,3
3,3,1,17,31239.0,43,55,0
4,2,0,21,31229.0,26,11,6
5,0,1,17,31008.0,2,2,6
6,0,0,7,31603.0,32,6,4
7,2,0,16,31034.0,0,4,6
8,2,1,21,31219.0,2,5,3
9,1,1,20,31612.0,10,9,5
10,0,0,14,32021.0,0,2,4
11,0,0,11,31404.0,0,2,0
12,24,8,13,31232.0,25,22,5
13,0,0,6,31207.0,1,9,3
14,0,0,23,31005.0,1,3,4
15,14,27,19,31258.0,6,10,2
16,0,2,9,31018.0,2,2,0
17,2,1,7,31212.0,28,8,4
18,0,0,19,31002.0,3,3,0
19,0,0,12,31259.0,2,5,1
20,1,0,23,31400.0,6,1,2
21,10,15,19,31215.0,12,6,5
22,0,0,21,31301.0,0,1,2
23,0,0,10,31309.0,0,2,3
24,2,2,16,31112.0,3,9,5
25,0,0,8,31404.0,0,17,0
26,0,3,10,31259.0,0,1,5
27,1,0,21,31267.0,3,2,6
28,1,1,19,31623.0,27,63,0
29,2,4,19,31256.0,9,13,4
30,17,25,16,31247.0,11,11,1
31,0,0,5,31400.0,1,3,1
32,0,0,23,31613.0,4,9,1
33,0,0,19,31050.0,2,2,1
34,1,0,10,31214.0,14,6,3
35,0,0,7,31506.0,5,33,3
36,0,0,14,31405.0,0,2,5
37,0,5,9,31203.0,6,12,0
38,0,4,17,31112.0,2,6,5
39,0,0,22,31023.0,0,1,0
40,2,0,7,31235.0,21,3,2
41,13,6,14,31225.0,6,5,3
42,1,3,11,31006.0,3,5,6
43,3,1,18,31621.0,5,17,0
44,1,0,12,31611.0,7,4,0
45,0,0,5,31503.0,0,2,1
46,1,0,1,31613.0,1,1,3
47,3,3,9,31232.0,9,8,0
48,2,3,12,31003.0,0,2,6
49,1,2,7,31103.0,10,40,3
50,0,0,10,31069.0,1,1,5
51,0,0,10,31608.0,1,2,1
52,3,2,20,31270.0,2,1,6
53,1,1,12,31305.0,5,4,3
54,0,0,10,31504.0,1,1,0
55,3,2,16,31117.0,7,8,5
56,25,43,14,31258.0,2,4,3
57,1,1,21,31218.0,1,1,6
58,0,0,17,31033.0,2,2,6
59,0,0,7,31608.0,5,6,4
60,0,0,21,31226.0,3,6,3
61,1,1,2,31109.0,9,7,5
62,0,1,18,31269.0,5,6,4
63,0,0,22,31119.0,4,1,1
64,1,1,12,31029.0,2,3,5
65,1,3,20,31225.0,6,13,4
66,0,0,1,31603.0,1,1,2
67,0,0,6,31212.0,10,1,3
68,0,0,20,31621.0,1,3,6
69,4,6,11,31624.0,13,13,1
70,1,2,19,31017.0,4,3,6
71,0,0,19,31251.0,23,16,2
72,3,3,16,31216.0,7,6,0
73,1,1,16,31101.0,26,18,2
74,4,1,21,31239.0,4,5,5
75,17,13,19,31222.0,7,2,5
76,0,0,17,31039.0,6,2,3
77,4,0,7,31228.0,19,3,1
78,0,2,20,31271.0,0,2,1
79,0,0,14,31010.0,2,2,2
80,0,0,23,31121.0,2,2,1
81,3,4,10,31244.0,9,4,5
82,2,0,9,31615.0,1,22,3
83,1,3,12,31607.0,6,3,4
84,0,0,16,31400.0,5,8,4
85,3,3,19,31265.0,14,10,4
86,1,4,16,31236.0,10,29,1
87,1,0,18,31703.0,2,2,3
88,1,2,18,31007.0,8,12,4
89,0,1,10,31266.0,0,3,4
90,0,0,11,31013.0,0,2,2
91,1,0,23,31604.0,5,5,1
92,1,5,9,31212.0,23,21,0
93,0,0,22,31014.0,0,1,0
94,5,1,11,31508.0,10,11,5
95,1,3,17,31628.0,29,24,0
96,2,1,15,31307.0,4,2,2
97,2,0,14,31214.0,22,21,3
98,2,1,16,31265.0,10,3,0
99,0,0,17,31635.0,0,3,2
100,0,0,18,31310.0,1,6,2
101,0,0,19,31508.0,5,5,1
102,6,6,19,31261.0,1,3,4
103,0,1,1,31604.0,0,3,3
104,2,10,9,31241.0,42,74,0
105,0,0,21,31021.0,1,9,2
106,1,1,10,31617.0,1,1,1
107,1,0,8,31117.0,4,5,3
108,0,1,0,31234.0,2,4,4
109,0,1,14,31251.0,10,7,3
110,10,6,16,31200.0,49,43,3
111,0,0,17,31030.0,1,6,6
112,2,2,16,31620.0,6,18,0
113,0,1,16,31039.0,2,5,6
114,2,3,20,31506.0,9,11,5
115,0,5,16,31633.0,0,2,2
116,0,0,4,31604.0,1,2,4
117,1,0,22,31104.0,16,17,1
118,0,0,5,31218.0,0,1,3
119,2,4,12,31010.0,1,3,5
120,0,1,20,31216.0,5,4,4
121,0,0,17,31708.0,1,1,5
122,1,4,10,31244.0,6,6,4
123,0,0,22,31505.0,2,3,3
124,1,0,19,31010.0,2,3,6
125,1,2,19,31236.0,8,10,2
126,0,1,9,31107.0,1,15,3
127,1,0,9,31021.0,0,2,0
128,0,0,6,31607.0,0,9,2
129,0,1,9,31619.0,1,19,6
130,1,1,13,31307.0,2,6,2
131,0,0,7,31502.0,0,2,0
132,3,13,21,31246.0,3,9,5
133,1,1,14,31601.0,2,6,6
134,0,2,20,31604.0,21,8,3
135,5,5,19,31229.0,19,28,5
136,0,3,12,31300.0,4,7,6
137,2,0,21,31007.0,2,2,4
138,0,1,17,31030.0,9,1,3
139,3,1,12,31108.0,13,12,3
140,0,2,11,31266.0,4,1,1
141,4,4,10,31237.0,15,26,5
142,0,0,13,31102.0,2,8,1
143,7,7,18,31214.0,54,29,6
144,0,0,9,31036.0,1,1,6
145,2,2,8,31617.0,0,2,6
146,0,0,1,31250.0,1,2,5
147,0,0,11,31022.0,2,2,2
148,0,0,23,31309.0,0,1,1
149,0,0,15,31702.0,0,1,4
150,0,0,6,31403.0,0,1,3
151,1,1,20,31265.0,14,7,4
152,2,1,9,31221.0,10,4,0
153,0,0,14,31612.0,3,4,2
154,0,2,13,31100.0,7,16,4
155,0,0,13,31063.0,0,1,4
156,0,0,10,31111.0,3,5,0
157,1,0,7,31253.0,13,2,2
158,0,0,22,31036.0,0,1,2
159,0,0,14,31207.0,0,4,3
160,1,0,6,31247.0,5,3,1
161,4,4,16,31272.0,3,10,0
162,9,12,17,31624.0,50,83,2
163,0,1,11,31024.0,3,3,6
164,1,0,9,31307.0,0,11,4
165,0,1,13,31400.0,9,13,6
166,7,6,14,31200.0,25,25,1
167,0,0,20,31017.0,3,7,0
168,0,0,10,31055.0,2,1,5
169,0,0,10,31626.0,1,6,1
170,0,0,8,31115.0,2,29,0
171,0,0,7,31621.0,18,1,4
172,1,1,8,31110.0,28,51,3
173,0,0,11,32019.0,0,1,1
174,3,2,0,31241.0,10,7,4
175,1,1,7,31205.0,16,1,1
176,9,7,14,31240.0,1,1,3
177,0,1,7,31232.0,17,14,2
178,0,1,16,31209.0,5,3,3
179,0,0,11,31632.0,0,1,4
180,0,0,17,31055.0,1,1,6
181,0,0,16,31627.0,15,9,0
182,0,1,11,31405.0,1,1,6
183,4,5,16,31624.0,61,33,2
184,0,0,8,31053.0,0,1,4
185,2,1,14,31621.0,9,8,1
186,7,4,13,31228.0,18,14,0
187,0,3,10,31015.0,3,2,1
188,1,2,10,31239.0,16,14,4
189,0,1,9,31406.0,0,13,2
190,0,1,14,31118.0,5,3,5
191,1,0,8,31267.0,22,22,3
192,2,1,22,31602.0,11,17,5
193,0,0,7,31803.0,2,3,3
194,0,1,19,31035.0,2,1,6
195,0,1,8,31503.0,7,31,2
196,0,0,12,31040.0,0,5,2
197,0,0,9,31114.0,2,6,3
198,0,1,11,31029.0,0,1,4
199,0,0,15,31608.0,6,7,4
200,0,0,6,31614.0,4,14,2
201,0,0,16,31047.0,1,4,5
202,0,5,9,31624.0,10,3,6
203,0,0,2,31402.0,1,1,5
204,0,1,13,31312.0,6,3,2
205,2,4,18,31304.0,6,6,3
206,10,3,21,31257.0,9,9,5
207,1,4,13,31204.0,8,7,0
208,0,0,6,31023.0,0,1,6
209,2,2,14,31608.0,8,3,6
210,3,5,20,31613.0,18,39,3
211,0,0,13,31115.0,0,4,3
212,0,1,3,31258.0,0,1,4
213,0,1,12,31311.0,1,1,6
